No,Name,Type1,Type2,Height,Weight,Legendary
1,Bulbasaur,Grass,Poison,0.7,6.9,0
2,Ivysaur,Grass,Poison,1.0,13.0,0
3,Venusaur,Grass,Poison,2.0,100.0,0
4,Charmander,Fire,,0.6,8.5,0
5,Charmeleon,Fire,,1.1,19.0,0
6,Charizard,Fire,Flying,1.7,90.5,0
7,Squirtle,Water,,0.5,9.0,0
8,Wartortle,Water,,1.0,22.5,0
9,Blastoise,Water,,1.6,85.5,0
10,Caterpie,Bug,,0.3,2.9,0
11,Metapod,Bug,,0.7,9.9,0
12,Butterfree,Bug,Flying,1.1,32.0,0
13,Weedle,Bug,Poison,0.3,3.2,0
14,Kakuna,Bug,Poison,0.6,10.0,0
15,Beedrill,Bug,Poison,1.0,29.5,0
16,Pidgey,Normal,Flying,0.3,1.8,0
17,Pidgeotto,Normal,Flying,1.1,30.0,0
18,Pidgeot,Normal,Flying,1.5,39.5,0
19,Rattata,Normal,,0.3,3.5,0
20,Raticate,Normal,,0.7,18.5,0
21,Spearow,Normal,Flying,0.3,2.0,0
22,Fearow,Normal,Flying,1.2,38.0,0
23,Ekans,Poison,,2.0,6.9,0
24,Arbok,Poison,,3.5,65.0,0
25,Pikachu,Electric,,0.4,6.0,0
26,Raichu,Electric,,0.8,30.0,0
