Siruta,Localitate,Cluster
1017,Municipiul Alba Iulia,1
1071,Ciugud,1
1151,Oras Abrud,3
1213,Municipiul Aiud,1
1348,Municipiul Blaj,1
1455,Oras Campeni,1
1696,Oras Cugir,1
1794,Oras Ocna Mures,1
1874,Municipiul Sebes,1
1936,Oras Zlatna,1
2130,Albac,3
2309,Almasu Mare,3
2381,Arieseni,1
2577,Avram Iancu,3
2915,Oras Baia De Aries,3
2988,Berghin,3
3039,Bistra,3
3397,Blandiana,2
3459,Bucium,3
3761,Cenade,2
3805,Cergau,3
3841,Ceru-Bacainti,2
3958,Cetatea De Balta,2
4008,Ciuruleasa,3
4106,Calnic,2
4142,Cricau,3
4188,Craciunelu De Jos,3
4240,Daia Romana,3
4268,Dostat,2
4302,Farau,2
4366,Galda De Jos,3
4482,Garbova,3
4525,Garda De Sus,3
4703,Hoparta,2
4767,Horea,3
4927,Ighiu,1
4981,Intregalde,2
5103,Jidvei,2
5167,Livezile,3
5210,Lopadea Noua,3
5309,Lunca Muresului,3
5336,Lupsa,1
5577,Metes,3
5700,Mihalt,3
5755,Miraslau,3
5826,Mogos,2
6048,Noslac,3
6119,Ocolis,2
6164,Ohaba,2
6217,Pianu,1
6271,Poiana Vadului,2
6397,Ponor,2
6468,Posaga,3
6547,Radesti,2
6592,Rametea,3
6627,Ramet,2
6761,Rosia Montana,3
6930,Rosia De Secas,2
6976,Salciua,2
7044,Salistea,3
7099,Sasciori,3
7197,Scarisoara,2
7348,Sancel,3
7384,Santimbru,3
7446,Sohodol,3
7767,Stremt,3
7810,Sibot,3
7865,Sona,3
7945,Spring,3
8014,Sugag,3
8096,Oras Teius,1
8158,Unirea,1
8229,Vadu Motilor,3
8354,Valea Lunga,3
8425,Vidra,3
8826,Vintu De Jos,1
9019,Cut,2
9026,Bucerdea Granoasa,3
9262,Municipiul Arad,1
9280,Fantanele,1
9333,Livada,1
9360,Sofronea,1
9397,Vladimirescu,1
9459,Oras Chisineu-Cris,1
9495,Oras Curtici,3
9538,Oras Ineu,1
9574,Oras Lipova,1
9627,Oras Nadlac,1
9654,Oras Pancota,1
9690,Oras Sebis,1
9743,Almas,3
9798,Apateu,3
9832,Archis,3
9887,Bata,3
9930,Beliu,3
10006,Birchis,3
10051,Barsa,3
10104,Barzava,3
10195,Bocsig,3
10239,Brazii,2
10293,Buteni,1
10346,Carand,2
10373,Cermei,3
10417,Chisindia,3
10453,Conop,3
10514,Covasint,3
10532,Craiva,3
10649,Dezna,3
10701,Dieci,3
10765,Ususau,3
10827,Felnac,3
10872,Ghioroc,1
10916,Graniceri,3
10943,Gurahont,1
11058,Halmagiu,3
11174,Halmagel,3
11236,Hasmas,2
11307,Ignesti,2
11352,Iratosu,1
11398,Macea,1
11423,Misca,3
11478,Moneasa,3
11502,Olari,3
11539,Paulis,1
11584,Oras Pecica,1
11637,Peregu Mare,3
11664,Petris,2
11735,Pilu,3
11762,Plescuta,2
11842,Savarsin,3
11940,Secusigiu,3
11995,Seleus,3
12037,Semlac,3
12055,Sintea Mare,3
12091,Oras Santana,3
12126,Socodor,3
12144,Sagu,1
12206,Seitin,3
12224,Sepreus,3
12242,Sicula,3
12288,Silindia,2
12340,Simand,1
12368,Siria,1
12402,Sistarovat,3
12457,Taut,3
12509,Tarnova,1
12572,Varadia De Mures,2
12643,Vinga,3
12689,Varfurile,3
12778,Zabrani,3
12812,Zarand,3
12849,Zerind,3
12876,Zimandu Nou,3
12912,Dorobanti,3
12920,Frumuseni,3
12938,Zadareni,1
13169,Municipiul Pitesti,1
13187,Bascov,1
13276,Bradu,3
13301,Oras Mioveni,2
13365,Maracineni,1
13392,Oras Stefanesti,1
13490,Municipiul Campulung,1
13524,Valea Mare Pravat,1
13622,Municipiul Curtea De Arges,1
13668,Oras Costesti,1
13757,Oras Topoloveni,1
13819,Albestii De Arges,1
13891,Albestii De Muscel,2
13935,Albota,1
13999,Aninoasa,3
14049,Arefu,3
14085,Babana,3
14165,Baiculesti,3
14272,Balilesti,3
14352,Beleti-Negresti,3
14405,Berevoesti,2
14450,Barla,3
14584,Bogati,3
14673,Boteni,2
14726,Botesti,2
14753,Bradulet,2
14851,Budeasa,1
14922,Bughea De Jos,3
14940,Buzoesti,3
15064,Caldararu,3
15108,Calinesti,1
15233,Cateasca,1
15313,Cepari,3
15402,Cetateni,2
15448,Cicanesti,3
15493,Ciofrangeni,3
15554,Ciomagesti,2
15652,Cocu,3
15741,Corbeni,3
15830,Corbi,3
15901,Cosesti,3
15983,Cotmeana,3
16132,Cuca,3
16285,Davidesti,3
16329,Dambovicioara,3
16365,Darmanesti,2
16427,Dobresti,3
16454,Domnesti,1
16472,Dragoslavele,3
16506,Draganu,1
16551,Godeni,3
16613,Harsesti,3
16659,Hartiesti,2
16739,Izvoru,3
16757,Leordeni,1
16908,Leresti,3
16944,Lunca Corbului,3
17049,Malureni,3
17101,Merisani,1
17209,Micesti,3
17254,Mihaesti,3
17334,Mioarele,3
17398,Mirosi,2
17423,Moraresti,3
17496,Mosoaia,1
17575,Mozaceni,2
17619,Musatesti,3
17726,Negrasi,3
17771,Nucsoara,2
17824,Oarja,3
17851,Pietrosani,3
17913,Poienarii De Arges,2
17968,Poienarii De Muscel,3
18028,Poiana Lacului,3
18162,Popesti,2
18242,Priboieni,3
18331,Ratesti,3
18411,Recea,2
18475,Rociu,3
18527,Rucar,1
18554,Salatrucu,3
18581,Sapata,3
18670,Schitu Golesti,3
18741,Slobozia,3
18778,Stalpeni,1
18858,Stoenesti,3
18938,Stolnici,3
19007,Suseni,3
19114,Stefan Cel Mare,3
19141,Suici,3
19212,Teiu,2
19249,Tigveni,2
19338,Titesti,3
19392,Uda,3
19560,Ungheni,3
19631,Valea Danului,3
19695,Valea Iasului,1
19793,Vedea,3
19999,Vladesti,3
20048,Raca,2
20055,Vulturesti,3
20063,Bughea De Sus,3
20297,Municipiul Bacau,1
20313,Hemeius,1
20359,Letea Veche,1
20411,Magura,1
20466,Margineni,1
20563,Municipiul Onesti,1
20607,Gura Vaii,3
20670,Stefan Cel Mare,3
20778,Oras Buhusi,1
20821,Oras Comanesti,1
20876,Municipiul Moinesti,1
20910,Oras Slanic-Moldova,3
20965,Oras Targu Ocna,1
21007,Agas,3
21098,Ardeoani,2
21123,Asau,3
21196,Balcani,3
21249,Beresti-Bistrita,3
21338,Beresti-Tazlau,3
21418,Berzunti,2
21454,Barsanesti,3
21506,Blagesti,2
21560,Bogdanesti,2
21597,Brusturoasa,3
21668,Buhoci,3
21720,Casin,1
21757,Caiuti,3
21855,Cleja,3
21891,Colonesti,2
21971,Corbasca,3
22059,Cotofanesti,2
22111,Damienesti,2
22166,Oras Darmanesti,1
22237,Dealu Morii,2
22380,Dofteana,3
22460,Faraoani,3
22488,Filipeni,3
22576,Filipesti,1
22665,Gaiceana,2
22718,Ghimes-Faget,3
22781,Garleni,3
22834,Glavanesti,3
22898,Helegiu,3
22941,Horgesti,3
23047,Huruiesti,2
23127,Izvoru Berheciului,2
23207,Lipova,2
23289,Livezi,3
23350,Luizi-Calugara,3
23387,Magiresti,3
