CountryCode,Country,Emisii_total_tone
AUT,Austria,2453643.49
BEL,Belgium,2419287.04
BGR,Bulgaria,6126906.5600000005
HRV,Croatia,3691782.9800000004
CYP,Cyprus,6140177.3
CZE,Czech Republic,5097898.73
DNK,Denmark,3996420.85
EST,Estonia,7719475.29
FIN,Finland,2585589.4899999998
FRA,France,1725950.89
DEU,Germany,4799349.08
GRC,Greece,7278159.43
HUN,Hungary,3293871.98
ISL,Iceland,12335.15
IRL,Ireland,4689989.3100000005
ITA,Italy,3867035.87
LVA,Latvia,2500918.96
LTU,Lithuania,2644591.3000000003
LUX,Luxembourg,3102495.46
MLT,Malta,10373213.89
NLD,Netherlands,3453583.96
NOR,Norway,56932.7
POL,Poland,6598119.199999999
PRT,Portugal,3757330.93
ROU,Romania,4208217.23
SVK,Slovakia,2698109.04
SVN,Slovenia,3937487.14
ESP,Spain,3478804.31
SWE,Sweden,1184725.2
CHE,Switzerland,17678.14
TUR,Turkey,1060299.95
GBR,United Kingdom,4340983.2
