CountryCode,Country,coal,oil,gas,biofuels,waste,nuclear,hydro,geothermal,solar_PV,solar_thermal,wind,tide,other
AUT,Austria,8.6,1.02,13.37,6.06,1.42,0,65.66,0,0.46,0,3.39,0,0.02
BEL,Belgium,6.58,0.39,28.34,5.41,2.61,48.51,2,0,2.59,0,3.31,0,0.27
BGR,Bulgaria,48.33,0.46,4.98,0.14,0,33.35,8.4,0,1.72,0,2.58,0,0.03
HRV,Croatia,21.2,5.51,23.79,0.89,0,0,45.48,0,0.02,0,3.12,0,0
CYP,Cyprus,0,94.55,0,1.06,0,0,0,0,0.47,0,3.92,0,0
CZE,Czech Republic,53.78,0.1,1.37,3.75,0.17,34.63,3.27,0,2.45,0,0.48,0,0
DNK,Denmark,34.38,1.31,13.65,11.56,5.28,0,0.06,0,0.34,0,33.42,0,0
EST,Estonia,86.12,0.48,1.05,8.36,0,0,0.35,0,0,0,3.63,0,0
FIN,Finland,16.01,0.44,9.55,15.41,0.81,32.65,23.95,0,0.01,0,0.7,0,0.47
FRA,France,3.84,0.77,3.87,0.54,0.79,75.39,11.27,0,0.71,0,2.64,0.08,0.11
MKD,FYRM,77.16,1.41,4.76,0,0,0,16.62,0,0.05,0,0,0,0
DEU,Germany,45.57,1.21,12.32,6.3,1.83,15.79,4.42,0,4.19,0,8.05,0,0.32
GRC,Greece,51.05,9.97,21.92,0.33,0.1,0,7.53,0,2.78,0,6.32,0,0
HUN,Hungary,18.66,0.51,27.18,4.46,0.66,45.66,0.62,0,0.02,0,2.23,0,0
ISL,Iceland,0,0.02,0,0,0,0,70.3,29.68,0,0,0,0,0
IRL,Ireland,29.36,0.9,49.77,1.37,0.39,0,3.67,0,0,0,14.53,0,0
ITA,Italy,18.08,6.31,43.12,3.45,1.48,0,14.65,1.87,6.3,0,4.48,0,0.25
LVA,Latvia,0.03,0.02,33.32,4.69,0,0,60.1,0,0,0,1.85,0,0
LTU,Lithuania,0,4.76,57.09,4.32,0,0,18.58,0,0.04,0,10.71,0,4.5
LUX,Luxembourg,0,0.03,62.61,1.52,2.52,0,30.36,0,1,0,1.97,0,0
MLT,Malta,0,98.91,0,0.13,0.39,0,0,0,0.57,0,0,0,0
MNE,Montenegro,48.07,0,0,0,0,0,51.93,0,0,0,0,0,0
NLD,Netherlands,26.64,1.07,54.38,4.85,3.89,3.82,0.1,0,0.25,0,4.86,0,0.14
NOR,Norway,0.11,0.03,1.78,0.18,0.14,0,96.7,0,0,0,1.05,0,0
POL,Poland,84.17,1.26,3.86,6.23,0.04,0,1.52,0,0,0,2.93,0,0
PRT,Portugal,28.08,4.7,22.89,5.8,1.07,0,14.29,0.31,0.84,0,22.01,0,0.01
ROU,Romania,38.8,1.27,14.77,0.36,0,19.42,20.89,0,0.01,0,4.47,0,0
SRB,Serbia,71.56,0.18,1.3,0.02,0,0,26.94,0,0,0,0,0,0
SVK,Slovakia,13.63,1.77,9.95,3.19,0.18,54.06,15.49,0,1.48,0,0.02,0,0.24
SVN,Slovenia,32.71,0.06,3.38,1.7,0.04,35.15,25.94,0,1.04,0,0,0,0
ESP,Spain,18.82,5.15,24.64,1.43,0.48,20.66,8.12,0,2.75,1.27,16.63,0,0.06
SWE,Sweden,0.77,0.39,0.54,6.32,1.75,38.45,47.46,0,0.01,0,4.3,0,0
CHE,Switzerland,0,0.08,1.32,0.75,3.16,36.41,57.69,0,0.46,0,0.13,0,0
TUR,Turkey,28.4,0.68,43.63,0.25,0.05,0,24.16,0.38,0,0,2.45,0,0
GBR,United Kingdom,39.63,0.84,27.51,3.55,1.14,19.35,2.27,0,0.33,0,5.38,0,0
