CountryCode,Country,AirEmiss,Sulphur,Nitrogen,Ammonia,NonMeth,Partic,GreenGE,GreenGIE
AUT,Austria,272674.87,418.6,1440.98,27.48,149.98,161.58,1802.84,375.93
BEL,Belgium,321549.97,490.6,800.16,15.03,226.01,65.27,1687.22,408.92
BGR,Bulgaria,1815871.44,16010.57,3121.36,,379.35,353.84,2570.57,1720.6
HRV,Croatia,587198.48,2665.66,1978.66,23.23,999.12,307.83,2389.27,709.34
CYP,Cyprus,1591446.64,7061.43,5776.23,8.07,642.15,262.78,2939.91,1595.07
CZE,Czech Republic,1235198.19,3041.92,2310.48,4.17,195.08,108.89,2510.9,1346.14
DNK,Denmark,777016.96,405.48,2011.48,0.98,676.24,99.71,2249.77,966.44
EST,Estonia,2280217.39,7209.78,2714.67,38.41,515.04,1250,3056.88,2370.65
FIN,Finland,524045.8,1289.13,2184.95,0.15,306.88,282.58,1435.86,621.62
FRA,France,122524.15,735.85,804.28,4.67,191.47,80.47,1392.75,208.86
DEU,Germany,1114584.29,870.83,1386.93,12.35,267.75,66.93,2515.05,1167.11
GRC,Greece,1917218.46,7928.02,5088.81,0,1484.14,0,3286.21,2060.23
HUN,Hungary,649670.73,602.68,1310.86,2.85,221.3,53.56,1937.58,704.43
ISL,Iceland,,12006.15,290.86,,38.14,,,
IRL,Ireland,923406.87,1101.43,1694.49,,471.09,525.43,2797.21,965.58
ITA,Italy,677103.17,786.33,1149.63,7.81,473.63,105.3,2392.08,795.33
LVA,Latvia,440341.86,250,1476.92,0,1333.48,726.7,1633.94,422.85
LTU,Lithuania,430136.45,3529.54,2301.9,14.5,740.92,557.99,1610.43,596.88
LUX,Luxembourg,278728.61,236.19,1851.1,0,454.77,1664.79,2566.26,253.3
MLT,Malta,3072010.45,11465.67,6938.81,2.99,267.16,438.81,4211.94,3070.15
NLD,Netherlands,623569.37,405.55,883.7,10.83,300.03,14.48,2060.94,767.46
NOR,Norway,52651.22,146.39,2171.81,,1788.63,174.65,,
POL,Poland,1587076.41,6072.17,3326.9,0,998.47,525.25,3266.82,1733.3
PRT,Portugal,697807.39,1585.55,2546.75,21.79,1105.14,414.31,2239.22,814.63
ROU,Romania,910430.87,7155.15,2496.88,,1865.84,328.49,2354.61,931.33
SVK,Slovakia,364869.49,3286.13,1776.4,4.68,564.44,157.9,1758.2,569.25
SVN,Slovenia,866601.29,1254.71,1946.43,0,803.14,171.57,2211,855.71
ESP,Spain,611735.18,2943.43,2999.92,2.47,497.58,195.73,2124.9,735.53
SWE,Sweden,138308.47,267.05,785.03,21.51,416.25,166.89,840.13,204.63
CHE,Switzerland,16508.12,219.64,579.46,11.99,221.52,137.41,,
TUR,Turkey,1037954.49,17644.43,3598.5,0,464.88,637.65,,
GBR,United Kingdom,835646.72,1823.3,2724.14,8.58,931.04,109.42,2510.27,989.47
