Code,NAME,Region,Population
ALB,Albania,EasternE,2832439
AND,Andorra,WesternE,80088
ARM,Armenia,Other,2777970
AUT,Austria,WesternE,8958960
AZE,Azerbaijan,Other,10412651
BLR,Belarus,EasternE,9498238
BEL,Belgium,WesternE,11686140
BIH,Bosnia Herzegovina,EasternE,3210847
BGR,Bulgaria,EasternE,6687717
HRV,Croatia,EasternE,4008617
CYP,Cyprus,SouthernE,1260138
CZE,Czech Republic,EasternE,10495295
DNK,Denmark,NorthernE,5910913
EST,Estonia,EasternE,1322765
FRO,Faeroe Islands (Denmark),NorthernE,53270
FIN,Finland,NorthernE,5545475
FRA,France,WesternE,64756584
GEO,Georgia,Other,3728282
DEU,Germany,WesternE,83294633
GIB,Gibraltar (UK),British,32688
GRC,Greece,SouthernE,10341277
GGI,Guernsey (UK),British,66000
HUN,Hungary,EasternE,10156239
ISL,Iceland,NorthernE,375318
IRL,Ireland,British,5056935
IMN,Isle of Man (UK),British,84710
ITA,Italy,SouthernE,58870762
JEY,Jersey (UK),British,105500
LVA,Latvia,EasternE,1830211
LIE,Liechtenstein,WesternE,39584
LTU,Lithuania,EasternE,2718352
LUX,Luxembourg,WesternE,654768
MKD,Macedonia,EasternE,2085679
MLT,Malta,SouthernE,535064
MDA,Moldova,EasternE,3435931
MCO,Monaco,WesternE,36297
MNE,Montenegro,EasternE,626485
NLD,Netherlands,WesternE,17618299
NOR,Norway,NorthernE,5474360
POL,Poland,EasternE,41026067
PRT,Portugal,SouthernE,10247605
ROU,Romania,EasternE,19892812
RUS,Russia,Other,144444359
SMR,San Marino,SouthernE,33642
SRB,Serbia,EasternE,7149077
SVK,Slovakia,EasternE,5795199
SVN,Slovenia,EasternE,2119675
ESP,Spain,SouthernE,47519628
SJM,Svalbard (Norway),NorthernE,2642
SWE,Sweden,NorthernE,10612086
CHE,Switzerland,WesternE,8796669
TUR,Turkey,Other,85816199
UKR,Ukraine,EasternE,36744634
GBR,United Kingdom,British,67736802
