CountryID,Country,GNI,ChangesInv,Exports,Imports,FinalConsExp,GrossCF,HouseholdConsExp,AgrHuntForFish,Construction,Manufacturing,MiningManUt,TradeT,TransportComm,Other
4,Afghanistan,377,139.243,44.978,147.15,426.812,47.909,345.742,124.746,7.484,33.756,50.593,38.961,36.689,97.604
8,Albania,6290,139.243,1958.352,2808.182,5557.036,1542.55,4805.106,1131.102,609.928,398.446,785.689,859.302,391.185,1800.73
12,Algeria,3618,113.577,989.265,979.142,2286.207,1403.453,1642.104,450.539,411.507,159.096,1050.084,482.247,356.251,811.784
20,Andorra,42066,452.156,14695.135,14070.371,32674.152,8767.125,23658.885,223.726,3266.102,1709.447,1934.37,8394.442,2156.899,22841.461
24,Angola,2070,35.713,901.217,332.358,1046.42,428.939,883.764,234.797,127.73,133.697,843.736,431.453,41.562,363.728
28,Antigua and Barbuda,14735,139.243,7767.073,9003.643,10666.694,5815.695,8172.822,342.841,2067.135,375.38,1223.443,2823.061,1289.953,5672.782
31,Azerbaijan,5263,38.541,2471.412,1584.113,3492.14,917.004,2780.593,311.246,312.051,361.457,2252.875,603.819,457.995,911.044
32,Argentina,10590,36.907,1940.678,1608.271,8260.305,1880.416,6559.654,648.287,394.58,1410.007,2057.416,1672.842,604.936,3577.993
36,Australia,64490,211.958,17283.224,13348.205,47451.71,15547.186,32637.518,2123.032,4590.857,3627.78,14081.199,6134.002,4012.177,31634.473
40,Austria,54082,196.484,30149.913,29813.669,38556.023,14906.835,26899.551,652.647,3490.368,8908.351,10418.742,7466.111,4254.557,21855.885
44,Bahamas,25962,318.068,7555.098,11577.447,23305.418,7083.887,18828.652,134.553,1869.159,463.315,1233.855,5457.865,2037.102,14096.265
48,Bahrain,24990,1437.467,24079.421,18846.479,12578.236,8751.796,8995.536,78.108,2189.061,4725.554,8896.665,1697.385,1936.123,11162.698
50,Bangladesh,2579,139.243,261.228,417.984,1830.461,761.708,1682.843,284.994,221.722,520.254,596.376,373.024,204.493,679.042
51,Armenia,5032,115.268,1739.315,2146.645,4351.62,1022.227,3567.252,563.078,323.485,566.391,999.665,644.437,327.432,1650.24
52,Barbados,16887,33.784,5232.219,6971.373,16053.876,3145.804,13827.703,255.334,1002.489,871.088,1307.077,2692.745,1894.026,7660.74
56,Belgium,51639,915.549,44439.013,43922.28,37290.877,13348.928,25061.536,339.316,2475.088,6303.572,7563.622,5821.957,4540.17,24803.17
60,Bermuda,112607,139.243,56060.504,27092.751,68398.633,15257.525,54964.147,267.249,4399.483,503.193,2251.44,10497.103,5122.472,85424.97
64,Bhutan,2809,1.075,882.36,1494.923,2204.9,1004.565,1612.747,520.774,358.946,209.129,750.596,357.77,300.263,639.319
68,Bolivia (Plurinational State of),3266,6.868,930.764,1043.515,2894.792,563.156,2247.965,432.275,94.621,358.816,787.204,322.083,300.629,1069.227
