Country,Cluster
Romania,5
Germania,5
Franta,5
Italia,4
Spania,5
Polonia,4
Ucraina,4
Rusia,2
Turcia,4
Marea Britanie,5
China,1
India,1
Japonia,3
Coreea de Sud,3
Indonesia,1
Vietnam,2
Thailanda,2
SUA,5
Canada,3
Mexic,2
Brazilia,2
Argentina,4
Chile,5
Peru,4
Egipt,2
Africa de Sud,4
Nigeria,1
Kenya,2
Etiopia,2
Maroc,2
Algeria,2
Australia,5
Noua Zeelanda,3
Filipine,2
Malaezia,2
Singapore,5
Grecia,5
Portugalia,5
Suedia,3
Norvegia,3
Danemarca,3
Finlanda,3
Islanda,3
Irlanda,3
Belgia,5
Olanda,5
Austria,3
Elvetia,3
Cehia,5
Ungaria,5
Bulgaria,4
Serbia,4
Croatia,5
Slovenia,5
Slovacia,5
Estonia,3
Letonia,3
Lituania,5
Islanda,3
Malta,5
Cipru,5
Belarus,4
Moldova,4
Pakistan,1
Bangladesh,1
Sri Lanka,2
Nepal,2
Burkina Faso,1
Mauritania,1
Senegal,2
