Country_Number,Country_Name,Three_Letter_Country_Code,FR,IM,LE,LEF,LEM,MMR,RS
4,"Afghanistan, Islamic Republic of",AFG,5.4467,60.1,62.321,63.79,60.93,396.1373,3.296
8,"Albania, Republic of",ALB,1.7135,9.212,77.487,79.96,75.21,28.5968,-0.394
12,"Algeria, People's Democratic Republic of",DZA,2.96,24.94,75.513,76.71,74.36,139.6208,1.983
24,"Angola, Republic of",AGO,6.0,78.247,57.74,60.51,55.15,476.9781,3.544
31,"Azerbaijan, Republic of",AZE,2.09,31.389,71.568,74.55,68.58,25.0686,1.266
32,"Argentina, Argentine Republic",ARG,2.33,12.056,75.675,79.04,72.23,52.3877,1.039
36,"Australia, Commonwealth of",AUS,1.885,3.627,82.363,84.45,80.28,5.9488,1.544
40,"Austria, Republic of",AUT,1.4488,3.33,80.986,83.48,78.37,3.8028,0.629
44,"Bahamas, Commonwealth of the",BHS,1.81,8.022,72.466,74.79,70.08,80.0141,1.057
48,"Bahrain, Kingdom of",BHR,2.12,6.908,76.41,77.46,75.61,15.1812,2.007
50,"Bangladesh, People's Republic of",BGD,2.2115,33.154,70.792,72.38,69.43,176.1376,1.143
51,"Armenia, Republic of",ARM,1.7202,13.229,73.988,77.03,70.64,25.3261,0.333
52,Barbados,BRB,1.63,11.464,78.603,79.98,77.12,27.1644,0.225
56,"Belgium, Kingdom of",BEL,1.7807,3.456,80.524,83.0,77.97,6.9711,0.628
64,"Bhutan, Kingdom of",BTN,2.12,30.465,69.409,69.61,69.19,147.8948,1.2
68,"Bolivia, Republic of",BOL,3.05,32.399,69.259,71.91,66.74,206.2129,1.571
70,Bosnia and Herzegovina,BIH,1.314,6.911,76.519,78.91,74.05,11.2508,-1.549
72,"Botswana, Republic of",BWA,3.0143,35.467,64.406,66.96,61.76,128.9488,1.301
76,"Brazil, Federative Republic of",BRA,1.77,15.793,74.342,78.04,70.71,43.6669,0.876
84,Belize,BLZ,2.58,14.981,73.403,75.96,71.08,27.7005,2.254
90,Solomon Islands,SLB,4.435,20.161,71.43,73.32,69.81,113.9993,2.666
96,Brunei Darussalam,BRN,2.0152,8.776,74.997,76.22,73.84,22.6096,1.308
100,"Bulgaria, Republic of",BGR,1.516,8.318,74.251,77.78,70.83,10.849,-0.616
104,"Myanmar, Union of",MMR,2.25,43.662,64.679,68.02,61.29,178.4995,0.806
108,"Burundi, Republic of",BDI,5.95,52.334,58.917,60.68,57.13,711.5974,3.159
